Strain ID	PseudoCAP version	Full organism name	Species	Strain	Number of genes	Assembly level	Biosample accession	Host taxonomic name	Host common name	Host taxonomy ID	Host NCBI taxonomy record	Assembly name	Refseq assembly accession	Number of scaffolds	Scaffold N50	Contig count	Contig N50	Download URL root	Genomic DNA fasta - file name	ORF DNA fasta - file name	Intergenic DNA (fasta) - file name	Amonio acid sequences (fasta) - file name	Tab-delimited annotations - file name	CSV format annotations - file name	GBK format annotations - file name	EMBL format annotations - file name	GFF3 annotations - file name	GFF3 annotations + genomic DNA sequence - file name	GTF format annotations (genes) - file name	GTF format annotations (genes and intergenic) - file name
81	pgd_r_15_2	Pseudomonas aeruginosa C3719	Pseudomonas aeruginosa	C3719	5696	Scaffold	SAMN02595210	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	ASM15252v1	GCF_000152525.1	1	6222097	124	98844	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_C3719_81	Pseudomonas_aeruginosa_C3719_81.fna	Pseudomonas_aeruginosa_C3719_81.ffn	Pseudomonas_aeruginosa_C3719_81_intergenic.fasta	Pseudomonas_aeruginosa_C3719_81.faa	Pseudomonas_aeruginosa_C3719_81.txt	Pseudomonas_aeruginosa_C3719_81.csv	Pseudomonas_aeruginosa_C3719_81.gbk	Pseudomonas_aeruginosa_C3719_81.embl	Pseudomonas_aeruginosa_C3719_81.gff	Pseudomonas_aeruginosa_C3719_81_seq.gff	Pseudomonas_aeruginosa_C3719_81.gtf	Pseudomonas_aeruginosa_C3719_81_genes_and_intergenic.gtf
82	pgd_r_15_2	Pseudomonas aeruginosa 2192	Pseudomonas aeruginosa	2192	6233	Scaffold	SAMN02595211	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	ASM15254v1	GCF_000152545.1	1	6905121	82	174666	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_2192_82	Pseudomonas_aeruginosa_2192_82.fna	Pseudomonas_aeruginosa_2192_82.ffn	Pseudomonas_aeruginosa_2192_82_intergenic.fasta	Pseudomonas_aeruginosa_2192_82.faa	Pseudomonas_aeruginosa_2192_82.txt	Pseudomonas_aeruginosa_2192_82.csv	Pseudomonas_aeruginosa_2192_82.gbk	Pseudomonas_aeruginosa_2192_82.embl	Pseudomonas_aeruginosa_2192_82.gff	Pseudomonas_aeruginosa_2192_82_seq.gff	Pseudomonas_aeruginosa_2192_82.gtf	Pseudomonas_aeruginosa_2192_82_genes_and_intergenic.gtf
84	pgd_r_15_2	Pseudomonas aeruginosa PACS2	Pseudomonas aeruginosa	PACS2	5989	Complete Genome	SAMN02471994					ASM16833v1	GCF_000168335.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_PACS2_84	Pseudomonas_aeruginosa_PACS2_84.fna	Pseudomonas_aeruginosa_PACS2_84.ffn	Pseudomonas_aeruginosa_PACS2_84_intergenic.fasta	Pseudomonas_aeruginosa_PACS2_84.faa	Pseudomonas_aeruginosa_PACS2_84.txt	Pseudomonas_aeruginosa_PACS2_84.csv	Pseudomonas_aeruginosa_PACS2_84.gbk	Pseudomonas_aeruginosa_PACS2_84.embl	Pseudomonas_aeruginosa_PACS2_84.gff	Pseudomonas_aeruginosa_PACS2_84_seq.gff	Pseudomonas_aeruginosa_PACS2_84.gtf	Pseudomonas_aeruginosa_PACS2_84_genes_and_intergenic.gtf
107	pgd_r_15_2	Pseudomonas aeruginosa PAO1 (Reference)	Pseudomonas aeruginosa	PAO1	5688	Complete Genome	SAMN02603714	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	ASM676v1	GCF_000006765.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_PAO1_107	Pseudomonas_aeruginosa_PAO1_107.fna	Pseudomonas_aeruginosa_PAO1_107.ffn	Pseudomonas_aeruginosa_PAO1_107_intergenic.fasta	Pseudomonas_aeruginosa_PAO1_107.faa	Pseudomonas_aeruginosa_PAO1_107.txt	Pseudomonas_aeruginosa_PAO1_107.csv	Pseudomonas_aeruginosa_PAO1_107.gbk	Pseudomonas_aeruginosa_PAO1_107.embl	Pseudomonas_aeruginosa_PAO1_107.gff	Pseudomonas_aeruginosa_PAO1_107_seq.gff	Pseudomonas_aeruginosa_PAO1_107.gtf	Pseudomonas_aeruginosa_PAO1_107_genes_and_intergenic.gtf
109	pgd_r_15_2	Pseudomonas aeruginosa UCBPP-PA14 (Reference)	Pseudomonas aeruginosa	UCBPP-PA14	5977	Complete Genome	SAMN02603591	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	ASM1462v1	GCF_000014625.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_UCBPP-PA14_109	Pseudomonas_aeruginosa_UCBPP-PA14_109.fna	Pseudomonas_aeruginosa_UCBPP-PA14_109.ffn	Pseudomonas_aeruginosa_UCBPP-PA14_109_intergenic.fasta	Pseudomonas_aeruginosa_UCBPP-PA14_109.faa	Pseudomonas_aeruginosa_UCBPP-PA14_109.txt	Pseudomonas_aeruginosa_UCBPP-PA14_109.csv	Pseudomonas_aeruginosa_UCBPP-PA14_109.gbk	Pseudomonas_aeruginosa_UCBPP-PA14_109.embl	Pseudomonas_aeruginosa_UCBPP-PA14_109.gff	Pseudomonas_aeruginosa_UCBPP-PA14_109_seq.gff	Pseudomonas_aeruginosa_UCBPP-PA14_109.gtf	Pseudomonas_aeruginosa_UCBPP-PA14_109_genes_and_intergenic.gtf
110	pgd_r_15_2	Pseudomonas putida KT2440	Pseudomonas putida	KT2440	5516	Complete Genome	SAMN02603999					ASM756v1	GCF_000007565.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_putida_KT2440_110	Pseudomonas_putida_KT2440_110.fna	Pseudomonas_putida_KT2440_110.ffn	Pseudomonas_putida_KT2440_110_intergenic.fasta	Pseudomonas_putida_KT2440_110.faa	Pseudomonas_putida_KT2440_110.txt	Pseudomonas_putida_KT2440_110.csv	Pseudomonas_putida_KT2440_110.gbk	Pseudomonas_putida_KT2440_110.embl	Pseudomonas_putida_KT2440_110.gff	Pseudomonas_putida_KT2440_110_seq.gff	Pseudomonas_putida_KT2440_110.gtf	Pseudomonas_putida_KT2440_110_genes_and_intergenic.gtf
111	pgd_r_15_2	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas syringae group genomosp. 3	DC3000	5842	Complete Genome	SAMN02604017	Solanum lycopersicum	tomato	4081	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4081	ASM780v1	GCF_000007805.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_syringae_group_genomosp__3_DC3000_111	Pseudomonas_syringae_group_genomosp__3_DC3000_111.fna	Pseudomonas_syringae_group_genomosp__3_DC3000_111.ffn	Pseudomonas_syringae_group_genomosp__3_DC3000_111_intergenic.fasta	Pseudomonas_syringae_group_genomosp__3_DC3000_111.faa	Pseudomonas_syringae_group_genomosp__3_DC3000_111.txt	Pseudomonas_syringae_group_genomosp__3_DC3000_111.csv	Pseudomonas_syringae_group_genomosp__3_DC3000_111.gbk	Pseudomonas_syringae_group_genomosp__3_DC3000_111.embl	Pseudomonas_syringae_group_genomosp__3_DC3000_111.gff	Pseudomonas_syringae_group_genomosp__3_DC3000_111_seq.gff	Pseudomonas_syringae_group_genomosp__3_DC3000_111.gtf	Pseudomonas_syringae_group_genomosp__3_DC3000_111_genes_and_intergenic.gtf
112	pgd_r_15_2	Pseudomonas syringae pv. syringae B728a	Pseudomonas syringae	B728a	5220	Complete Genome	SAMN02604347					ASM1224v1	GCF_000012245.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_syringae_B728a_112	Pseudomonas_syringae_B728a_112.fna	Pseudomonas_syringae_B728a_112.ffn	Pseudomonas_syringae_B728a_112_intergenic.fasta	Pseudomonas_syringae_B728a_112.faa	Pseudomonas_syringae_B728a_112.txt	Pseudomonas_syringae_B728a_112.csv	Pseudomonas_syringae_B728a_112.gbk	Pseudomonas_syringae_B728a_112.embl	Pseudomonas_syringae_B728a_112.gff	Pseudomonas_syringae_B728a_112_seq.gff	Pseudomonas_syringae_B728a_112.gtf	Pseudomonas_syringae_B728a_112_genes_and_intergenic.gtf
172	pgd_r_15_2	Pseudomonas aeruginosa M18	Pseudomonas aeruginosa	M18	5770	Complete Genome	SAMN02603849					ASM22615v1	GCF_000226155.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_M18_172	Pseudomonas_aeruginosa_M18_172.fna	Pseudomonas_aeruginosa_M18_172.ffn	Pseudomonas_aeruginosa_M18_172_intergenic.fasta	Pseudomonas_aeruginosa_M18_172.faa	Pseudomonas_aeruginosa_M18_172.txt	Pseudomonas_aeruginosa_M18_172.csv	Pseudomonas_aeruginosa_M18_172.gbk	Pseudomonas_aeruginosa_M18_172.embl	Pseudomonas_aeruginosa_M18_172.gff	Pseudomonas_aeruginosa_M18_172_seq.gff	Pseudomonas_aeruginosa_M18_172.gtf	Pseudomonas_aeruginosa_M18_172_genes_and_intergenic.gtf
113	pgd_r_15_2	Pseudomonas protegens Pf-5	Pseudomonas protegens	Pf-5	6273	Complete Genome	SAMN02604012					ASM1226v1	GCF_000012265.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_protegens_Pf-5_113	Pseudomonas_protegens_Pf-5_113.fna	Pseudomonas_protegens_Pf-5_113.ffn	Pseudomonas_protegens_Pf-5_113_intergenic.fasta	Pseudomonas_protegens_Pf-5_113.faa	Pseudomonas_protegens_Pf-5_113.txt	Pseudomonas_protegens_Pf-5_113.csv	Pseudomonas_protegens_Pf-5_113.gbk	Pseudomonas_protegens_Pf-5_113.embl	Pseudomonas_protegens_Pf-5_113.gff	Pseudomonas_protegens_Pf-5_113_seq.gff	Pseudomonas_protegens_Pf-5_113.gtf	Pseudomonas_protegens_Pf-5_113_genes_and_intergenic.gtf
114	pgd_r_15_2	Pseudomonas savastanoi pv. phaseolicola 1448A	Pseudomonas savastanoi	1448A; BAA-978	5437	Complete Genome	SAMN02603162					ASM1220v1	GCF_000012205.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_savastanoi_1448A__BAA-978_114	Pseudomonas_savastanoi_1448A__BAA-978_114.fna	Pseudomonas_savastanoi_1448A__BAA-978_114.ffn	Pseudomonas_savastanoi_1448A__BAA-978_114_intergenic.fasta	Pseudomonas_savastanoi_1448A__BAA-978_114.faa	Pseudomonas_savastanoi_1448A__BAA-978_114.txt	Pseudomonas_savastanoi_1448A__BAA-978_114.csv	Pseudomonas_savastanoi_1448A__BAA-978_114.gbk	Pseudomonas_savastanoi_1448A__BAA-978_114.embl	Pseudomonas_savastanoi_1448A__BAA-978_114.gff	Pseudomonas_savastanoi_1448A__BAA-978_114_seq.gff	Pseudomonas_savastanoi_1448A__BAA-978_114.gtf	Pseudomonas_savastanoi_1448A__BAA-978_114_genes_and_intergenic.gtf
116	pgd_r_15_2	Pseudomonas fluorescens SBW25	Pseudomonas fluorescens	SBW25	6106	Gapless Chromosome	SAMEA2272316					ASM922v1	GCF_000009225.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_fluorescens_SBW25_116	Pseudomonas_fluorescens_SBW25_116.fna	Pseudomonas_fluorescens_SBW25_116.ffn		Pseudomonas_fluorescens_SBW25_116.faa								
117	pgd_r_15_2	Pseudomonas entomophila L48	Pseudomonas entomophila	L48	5275	Gapless Chromosome	SAMEA3138225					ASM2610v1	GCF_000026105.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_entomophila_L48_117	Pseudomonas_entomophila_L48_117.fna	Pseudomonas_entomophila_L48_117.ffn		Pseudomonas_entomophila_L48_117.faa								
118	pgd_r_15_2	Pseudomonas putida F1	Pseudomonas putida	F1	5402	Complete Genome	SAMN00623058					ASM1686v1	GCF_000016865.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_putida_F1_118	Pseudomonas_putida_F1_118.fna	Pseudomonas_putida_F1_118.ffn	Pseudomonas_putida_F1_118_intergenic.fasta	Pseudomonas_putida_F1_118.faa	Pseudomonas_putida_F1_118.txt	Pseudomonas_putida_F1_118.csv	Pseudomonas_putida_F1_118.gbk	Pseudomonas_putida_F1_118.embl	Pseudomonas_putida_F1_118.gff	Pseudomonas_putida_F1_118_seq.gff	Pseudomonas_putida_F1_118.gtf	Pseudomonas_putida_F1_118_genes_and_intergenic.gtf
119	pgd_r_15_2	Pseudomonas aeruginosa PA7	Pseudomonas aeruginosa	PA7	6369	Complete Genome	SAMN02603435	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	ASM1720v1	GCF_000017205.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_PA7_119	Pseudomonas_aeruginosa_PA7_119.fna	Pseudomonas_aeruginosa_PA7_119.ffn	Pseudomonas_aeruginosa_PA7_119_intergenic.fasta	Pseudomonas_aeruginosa_PA7_119.faa	Pseudomonas_aeruginosa_PA7_119.txt	Pseudomonas_aeruginosa_PA7_119.csv	Pseudomonas_aeruginosa_PA7_119.gbk	Pseudomonas_aeruginosa_PA7_119.embl	Pseudomonas_aeruginosa_PA7_119.gff	Pseudomonas_aeruginosa_PA7_119_seq.gff	Pseudomonas_aeruginosa_PA7_119.gtf	Pseudomonas_aeruginosa_PA7_119_genes_and_intergenic.gtf
120	pgd_r_15_2	Pseudomonas mendocina ymp	Pseudomonas mendocina	ymp	4703	Complete Genome	SAMN02598392					ASM1656v1	GCF_000016565.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_mendocina_ymp_120	Pseudomonas_mendocina_ymp_120.fna	Pseudomonas_mendocina_ymp_120.ffn	Pseudomonas_mendocina_ymp_120_intergenic.fasta	Pseudomonas_mendocina_ymp_120.faa	Pseudomonas_mendocina_ymp_120.txt	Pseudomonas_mendocina_ymp_120.csv	Pseudomonas_mendocina_ymp_120.gbk	Pseudomonas_mendocina_ymp_120.embl	Pseudomonas_mendocina_ymp_120.gff	Pseudomonas_mendocina_ymp_120_seq.gff	Pseudomonas_mendocina_ymp_120.gtf	Pseudomonas_mendocina_ymp_120_genes_and_intergenic.gtf
121	pgd_r_15_2	Pseudomonas putida GB-1	Pseudomonas putida	GB-1	5529	Complete Genome	SAMN00623059					ASM1912v1	GCF_000019125.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_putida_GB-1_121	Pseudomonas_putida_GB-1_121.fna	Pseudomonas_putida_GB-1_121.ffn	Pseudomonas_putida_GB-1_121_intergenic.fasta	Pseudomonas_putida_GB-1_121.faa	Pseudomonas_putida_GB-1_121.txt	Pseudomonas_putida_GB-1_121.csv	Pseudomonas_putida_GB-1_121.gbk	Pseudomonas_putida_GB-1_121.embl	Pseudomonas_putida_GB-1_121.gff	Pseudomonas_putida_GB-1_121_seq.gff	Pseudomonas_putida_GB-1_121.gtf	Pseudomonas_putida_GB-1_121_genes_and_intergenic.gtf
122	pgd_r_15_2	Pseudomonas putida W619	Pseudomonas putida	W619	5309	Complete Genome	SAMN02598376	Populus trichocarpa	black cottonwood	3694	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3694	ASM1944v1	GCF_000019445.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_putida_W619_122	Pseudomonas_putida_W619_122.fna	Pseudomonas_putida_W619_122.ffn	Pseudomonas_putida_W619_122_intergenic.fasta	Pseudomonas_putida_W619_122.faa	Pseudomonas_putida_W619_122.txt	Pseudomonas_putida_W619_122.csv	Pseudomonas_putida_W619_122.gbk	Pseudomonas_putida_W619_122.embl	Pseudomonas_putida_W619_122.gff	Pseudomonas_putida_W619_122_seq.gff	Pseudomonas_putida_W619_122.gtf	Pseudomonas_putida_W619_122_genes_and_intergenic.gtf
123	pgd_r_15_2	Pseudomonas stutzeri A1501	Pseudomonas stutzeri	A1501	4209	Complete Genome	SAMN02603910					ASM1378v1	GCF_000013785.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_stutzeri_A1501_123	Pseudomonas_stutzeri_A1501_123.fna	Pseudomonas_stutzeri_A1501_123.ffn	Pseudomonas_stutzeri_A1501_123_intergenic.fasta	Pseudomonas_stutzeri_A1501_123.faa	Pseudomonas_stutzeri_A1501_123.txt	Pseudomonas_stutzeri_A1501_123.csv	Pseudomonas_stutzeri_A1501_123.gbk	Pseudomonas_stutzeri_A1501_123.embl	Pseudomonas_stutzeri_A1501_123.gff	Pseudomonas_stutzeri_A1501_123_seq.gff	Pseudomonas_stutzeri_A1501_123.gtf	Pseudomonas_stutzeri_A1501_123_genes_and_intergenic.gtf
175	pgd_r_15_2	Pseudomonas stutzeri ATCC 17588 = LMG 11199	Pseudomonas stutzeri	ATCC 17588 = LMG 11199	4314	Complete Genome	SAMN02603041					ASM21960v1	GCF_000219605.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_stutzeri_ATCC_17588___LMG_11199_175	Pseudomonas_stutzeri_ATCC_17588___LMG_11199_175.fna	Pseudomonas_stutzeri_ATCC_17588___LMG_11199_175.ffn	Pseudomonas_stutzeri_ATCC_17588___LMG_11199_175_intergenic.fasta	Pseudomonas_stutzeri_ATCC_17588___LMG_11199_175.faa	Pseudomonas_stutzeri_ATCC_17588___LMG_11199_175.txt	Pseudomonas_stutzeri_ATCC_17588___LMG_11199_175.csv	Pseudomonas_stutzeri_ATCC_17588___LMG_11199_175.gbk	Pseudomonas_stutzeri_ATCC_17588___LMG_11199_175.embl	Pseudomonas_stutzeri_ATCC_17588___LMG_11199_175.gff	Pseudomonas_stutzeri_ATCC_17588___LMG_11199_175_seq.gff	Pseudomonas_stutzeri_ATCC_17588___LMG_11199_175.gtf	Pseudomonas_stutzeri_ATCC_17588___LMG_11199_175_genes_and_intergenic.gtf
124	pgd_r_15_2	Pseudomonas fluorescens Pf0-1	Pseudomonas fluorescens	Pf0-1	5829	Complete Genome	SAMN02598267					ASM1244v1	GCF_000012445.1					http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_fluorescens_Pf0-1_124	Pseudomonas_fluorescens_Pf0-1_124.fna	Pseudomonas_fluorescens_Pf0-1_124.ffn	Pseudomonas_fluorescens_Pf0-1_124_intergenic.fasta	Pseudomonas_fluorescens_Pf0-1_124.faa	Pseudomonas_fluorescens_Pf0-1_124.txt	Pseudomonas_fluorescens_Pf0-1_124.csv	Pseudomonas_fluorescens_Pf0-1_124.gbk	Pseudomonas_fluorescens_Pf0-1_124.embl	Pseudomonas_fluorescens_Pf0-1_124.gff	Pseudomonas_fluorescens_Pf0-1_124_seq.gff	Pseudomonas_fluorescens_Pf0-1_124.gtf	Pseudomonas_fluorescens_Pf0-1_124_genes_and_intergenic.gtf
